19 Sep 16                    1  OFFICIAL  STANDINGS                  
CIRCUIT  : PEAVEY MART WEST TOUR 
INCLUDING: KYLE, SK,                                                   
EXCLUDING:                                                             
EVENT|POS|CCA ID|NAME|LOCALE|POINTS
TIE DOWN ROPING|15|6815C|DAVIDSON JB|RIMBEY, AB|55
TIE DOWN ROPING|16|7462|HOFER CHASE|MAGRATH, AB|50
TIE DOWN ROPING|17|5020C|GETZ TYLER|LUCKY LAKE, SK|50
TIE DOWN ROPING|18|2007C|SWITZER BLAINE|SWIFT CURRENT SK|40
TIE DOWN ROPING|19|5643C|SWITZER MATT|YORKTON, SK      |40
TIE DOWN ROPING|20|6835C|BROWN ORY|LENORE, MB|30
STEER WRESTLING|1|6596C|KURTZ JUSTIN|COALDALE, AB|170
STEER WRESTLING|2|1561C|LOEPPKY TJ|CENTRAL BUTTE, SK|140
STEER WRESTLING|3|7419|WHEELER GEORGE|DAVIDSON SK|120
STEER WRESTLING|4|5957C|HANTELMAN CHAD|KYLE, SK|110
STEER WRESTLING|5|6505C|ELLIS TY|SONNINGDALE, SK|105
STEER WRESTLING|6|5328C|HARDEN JOSH|BIG VALLEY, AB|90
STEER WRESTLING|7|6098C|TOBER DANIEL|OXBOW SK|90
STEER WRESTLING|8|5483C|PORTER DEVON|SOLSGIRTH, MB|90
STEER WRESTLING|9|6101C|TRAUTMAN MICHAEL|LETHBRIDGE AB|70
STEER WRESTLING|10|7169C|BRIGDEN AVERY|SOURIS, MB|60
STEER WRESTLING|11|6736|SHUCKBURGH RYAN|INNISFAIL, AB|60
STEER WRESTLING|12|7253C|MCLEOD TEE|WALDECK, SK|55
STEER WRESTLING|13|6645C|KLOVANSKY KAL|QU'APPELLE, SK|40
STEER WRESTLING|14|3956C|HARDEN JEREMY |CASTOR, AB|40
STEER WRESTLING|15|CP3960C|RESCH WAYNE|MAPLE CREEK, SK|35
STEER WRESTLING|16|6047C|KULBACKI BRYCE|RED WILLOW, AB|30
STEER WRESTLING|17|7510|WARD TYRELL|THREE HILLS, AB|30
STEER WRESTLING|18|5942C|SIGFUSSON SCOTT|DAVIDSON, SK|30
STEER WRESTLING|19|1705C|MARCENKO ZANE|ROCKGLEN, SK|30
STEER WRESTLING|20|6685C|NEWTON BLAKE|DEL BONITA, AB|25
LADIES BARREL RACING|1|L7459|DANCY NANCY|RAPID VIEW, SK|185
LADIES BARREL RACING|2|L7325C|OLAFSON BERTINA|HUDSON BAY, SK|130
LADIES BARREL RACING|3|L5498C|GETZ JENNIFER|BALGONIE, SK        |100
LADIES BARREL RACING|4|L7509|MILLARD TANA|RED DEER COUNTY, AB|100
LADIES BARREL RACING|5|L6718C|SLADE LARAMIE|LESTOCK, SK|95
LADIES BARREL RACING|6|L7427|YARSHENKO MARDI|MAPLE CREEK SK|90
LADIES BARREL RACING|7|L5497C|SWITZER BAILEE|ANEROID, SK|80
LADIES BARREL RACING|8|L6730C|SCHUURMAN TAMMY|DIAMOND CITY, AB|70
LADIES BARREL RACING|9|L6632C|LEGUERRIER SHANNON|DONALDA, AB|60
LADIES BARREL RACING|10|L7466|SKOCDOPOLE DIANE|BIG VALLEY, AB|60
LADIES BARREL RACING|11|L6663C|SCHNITZLER RENIE|VANSCOY, SK|55
LADIES BARREL RACING|12|L7463|BUNNEY JENN|BYEMOOR, AB|55
LADIES BARREL RACING|13|L6731C|SCHUURMAN BRITTNY|DEL BONITA, AB|40
LADIES BARREL RACING|14|L6390C|ZUNTI TWILA|UNITY, SK|40
LADIES BARREL RACING|15|L6880C|WILSON MARCI|GLEICHEN, AB|40
LADIES BARREL RACING|16|L6888C|MCMANN SHAYLEE|DONALDA, AB|30
LADIES BARREL RACING|17|L4098C|LAWRENCE TK|WILLISTON, ND USA|30
LADIES BARREL RACING|18|L5402C|HOOVER JACQUELINE|VANSCOY, SK |30
LADIES BARREL RACING|19|L7129C|KIELSTRA CHRISSY|BURDETT, AB|30
LADIES BARREL RACING|20|L5545C|GRAD KRYSTAL |GRAVELBOURG, SK  |20
TR HEELER|1|6857C|MCLEOD TYCE|WALDECK, SK|210
TR HEELER|2|5270C|CHAPPEL BRADY|MOOSE JAW, SK   |185
TR HEELER|3|3813C|GOMERSALL JIM-BOB|MOOSE JAW SK|150
TR HEELER|4|6742C|STUBER AUSTIN|REDCLIFF, AB|145
TR HEELER|5|3746C|SCHREINER CLINT|MEDICINE HAT AB|125
TR HEELER|6|6933C|SMITH LAYNE|OAK LAKE, MB|85
TR HEELER|7|4095C|DRAKE KENT |MOOSE JAW, SK|75
TR HEELER|8|6365C|BROWNLEE GARRETT|MOOSE JAW, SK|70
TR HEELER|9|6670C|RUTTEN TANNER|REDVERS, SK|65
TR HEELER|10|2244C|MCLEOD SCOTT|WALDECK SK|65
TR HEELER|11|7099C|PANCOAST JARED|REDCLIFF, AB|60
TR HEELER|12|7408C|SWITZER CHANSE|HAZENMORE, SK|55
TR HEELER|13|6822C|DUBEAU JUSTIN|REDCLIFF AB|55
TR HEELER|14|7263C|HANNA RYAN|PILOT BUTTE, SK|40
TR HEELER|15|5020C|GETZ TYLER|LUCKY LAKE, SK|40
TR HEELER|16|6448|TUNKE TRENT|MEDICINE HAT, AB|40
TR HEELER|17|5495C|STEWART GRAHAM|DAVIN, SK|30
TR HEELER|18|3956C|HARDEN JEREMY |CASTOR, AB|30
TR HEELER|19|6168|GILCHRIST ADAM|MAPLE CREEK SK|25
TR HEELER|20|6452C|OSTRANDER AJ|SWIFT CURRENT, SK|20
TR HEADER|1|6510C|MCLEOD TUFTIN|WALDECK, SK|210
TR HEADER|2|5566C|CHAPPEL KYLE|GRAVELBOURG, SK |185
TR HEADER|3|5942C|SIGFUSSON SCOTT|DAVIDSON, SK|150
TR HEADER|4|5642C|SCHMIDT JASON|MEDICINE HAT, AB|125
TR HEADER|5|7297C|STUBER WYATT|REDCLIFF, AB|95
TR HEADER|6|7532|MITCHELL COLE|OAK LAKE, MB|85
TR HEADER|7|2226C|LINTHICUM MURRAY|GLENTWORTH SK|75
TR HEADER|8|7096C|GEIS MARTIN|MOSSBANK, SK|70
TR HEADER|9|7296C|PATON TY|CARNDUFF, SK|65
TR HEADER|10|7253C|MCLEOD TEE|WALDECK, SK|65
TR HEADER|11|6831C|WUDRICH TAYLOR|BOW ISLAND, AB|65
TR HEADER|12|3812C|SWITZER BEN|HAZENMORE SK|55
TR HEADER|13|1705C|MARCENKO ZANE|ROCKGLEN, SK|50
TR HEADER|14|2007C|SWITZER BLAINE|SWIFT CURRENT SK|40
TR HEADER|15|5426C|CROMARTY DUSTIN|REGINA, SK|40
TR HEADER|16|5335C|KRAFT DALTON|IRVINE, AB|40
TR HEADER|17|6555|PEROZAK MACE|CLARESHOLM, AB|30
TR HEADER|18|5589C|BRICE SHOAT|PARRY, SK    |30
TR HEADER|19|2246C|ELLIS MARK|SONNINGDALE, SK|30
TR HEADER|20|5328C|HARDEN JOSH|BIG VALLEY, AB|30
