 19 Sep 16                    2  OFFICIAL  STANDINGS                  
 CIRCUIT  : PEAVEY MART EAST TOUR
 INCLUDING: ESTEVAN, SK,                                                
 EXCLUDING:                                                             
EVENT|POS|CCA ID|NAME|LOCALE|POINTS
LADIES BARREL RACING|4|L7278C|CROSSLEY JACEY|MOOSOMIN, SK|120
LADIES BARREL RACING|5|L7509|MILLARD TANA|RED DEER COUNTY, AB|115
LADIES BARREL RACING|6|L7447|FROESE TORIE|BIENFAIT, SK|110
LADIES BARREL RACING|7|L7083C|PETERS SAMANTHA|PLUMAS MB|90
LADIES BARREL RACING|8|L7325C|OLAFSON BERTINA|HUDSON BAY, SK|80
LADIES BARREL RACING|9|L5497C|SWITZER BAILEE|ANEROID, SK|70
LADIES BARREL RACING|10|L6390C|ZUNTI TWILA|UNITY, SK|70
LADIES BARREL RACING|11|L5498C|GETZ JENNIFER|BALGONIE, SK        |70
LADIES BARREL RACING|12|L6807C|LANZ KARLY|CARIEVALE, SK|60
LADIES BARREL RACING|13|L7463|BUNNEY JENN|BYEMOOR, AB|60
LADIES BARREL RACING|14|L6378C|THIESSEN MELISSA|STETTLER, AB|50
LADIES BARREL RACING|15|L6663C|SCHNITZLER RENIE|VANSCOY, SK|40
LADIES BARREL RACING|16|L7277C|MOFFATT SHERRI|MOOSOMIN, SK|40
LADIES BARREL RACING|17|L7416|WILEY BRITTANY|MANOR, SK|40
LADIES BARREL RACING|18|P7434C|WESTON WHITNEY|CARDSTON, AB|35
LADIES BARREL RACING|19|L7343C|COLLEN ANN|VIRDEN, MB|30
LADIES BARREL RACING|20|L7310C|MASON CRYSTAL|KILLARNEY, MB|30
TR HEELER|1|6670C|RUTTEN TANNER|REDVERS, SK|155
TR HEELER|2|6809C|OLSON BRETT A|SOUTHEY, SK|135
TR HEELER|3|5643C|SWITZER MATT|YORKTON, SK      |130
TR HEELER|4|6857C|MCLEOD TYCE|WALDECK, SK|130
TR HEELER|5|3948C|BEVAN CAREY|CARIEVALE SK|100
TR HEELER|6|2244C|MCLEOD SCOTT|WALDECK SK|100
TR HEELER|7|4095C|DRAKE KENT |MOOSE JAW, SK|95
TR HEELER|8|5270C|CHAPPEL BRADY|MOOSE JAW, SK   |80
TR HEELER|9|6742C|STUBER AUSTIN|REDCLIFF, AB|70
TR HEELER|10|3746C|SCHREINER CLINT|MEDICINE HAT AB|70
TR HEELER|11|6835C|BROWN ORY|LENORE, MB|70
TR HEELER|12|7383C|KELLY CLINT|BRANDON, MB|70
TR HEELER|13|6545C|LEHMANN ASHTON|MAYFAIR, SK|70
TR HEELER|14|5421|GAUBE BRETT|WEYBURN, SK|65
TR HEELER|15|5483C|PORTER DEVON|SOLSGIRTH, MB|60
