OFFICIAL DRAW FOR UNITY, SK
Performance: 1. Saturday 4 @ 5:30PM
Performance: 2. Sunday 5 @ 2:00PM
Performance: 3. Sunday 5 @ 9:00AM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
STEER WRESTLING|7390C| 1. LANIGAN KLAY (PERF # 2)|STRATHMORE, AB|
STEER WRESTLING|R10751C| 2. KNITTIG LORNE (PERF # 2)|CPRA|
STEER WRESTLING|3636C| 3. MCPHEE BRIAN (PERF # 2)|HANLEY SK|
STEER WRESTLING|6645C| 4. KLOVANSKY KAL (PERF # 2)|QU'APPELLE, SK|
STEER WRESTLING|6736| 5. SHUCKBURGH RYAN (PERF # 2)|INNISFAIL, AB|
STEER WRESTLING|7419| 6. WHEELER GEORGE (PERF # 2)|DAVIDSON SK|
STEER WRESTLING|5942C| 7. SIGFUSSON SCOTT (PERF # 2)|DAVIDSON, SK|
STEER WRESTLING|7510| 8. WARD TYRELL (PERF # 2)|THREE HILLS, AB|
STEER WRESTLING||PERFORMANCE: 3||
STEER WRESTLING|| ||
STEER WRESTLING|5957C| 1. HANTELMAN CHAD (PERF # 3)|KYLE, SK|
STEER WRESTLING|6101C| 2. TRAUTMAN MICHAEL (PERF # 3)|LETHBRIDGE AB|
STEER WRESTLING|R26918| 3. WOODWARD TODD (PERF # 3)|CPRA|
STEER WRESTLING|R329492| 4. WILLICK TY (PERF # 3)|CPRA|
STEER WRESTLING|R11366| 5. GUZE JOSEPH (PERF # 3)|CPRA|
STEER WRESTLING|R11593| 6. HAYES RILEY (PERF # 3)|CPRA|
STEER WRESTLING|6596C| 7. KURTZ JUSTIN (PERF # 3)|COALDALE, AB|
STEER WRESTLING|R26936| 8. CASSIDY CURTIS (PERF # 3)|CPRA|
STEER WRESTLING|R30699C| 9. CASSIDY CODY (PERF # 3)|DONALDA, AB|
STEER WRESTLING|R328140C| 10. WALKER DUSTIN (PERF # 3)|CPRA|
LADIES BARREL RACING||PERFORMANCE: 1||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|L7489| 1. MACKIE KYLIE (PERF # 1)|MAPLE CREEK, SK|TIMER DUTIES
LADIES BARREL RACING|L7504| 2. FLECK LOREE (PERF # 1)|BODO, AB|TIMER DUTIES
LADIES BARREL RACING|LOC6511| 3. UBELL STEPH (PERF # 1)|UNI  |
LADIES BARREL RACING|L7442C| 4. SMITH KAILEE (PERF # 1)|WAINWRIGHT, AB|
