OFFICIAL DRAW FOR CENTRAL BUTTE, SK
Performance: 1. Friday 22 @ 7:00PM
Performance: 2. Saturday 23 @ 7:00PM
Performance: 3. Saturday 23 @ 10:00AM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
STEER WRESTLING|6510C| 4. MCLEOD TUFTIN (PERF # 3)|WALDECK, SK|
STEER WRESTLING|5483C| 5. PORTER DEVON (PERF # 3)|SOLSGIRTH, MB|
STEER WRESTLING|M2072C| 6. KING JOE (PERF # 3)|VIRDEN, MB|
STEER WRESTLING|M2056C| 7. KING CHARLIE (PERF # 3)|MRCA|
STEER WRESTLING|M2559C| 8. LEE AARON (PERF # 3)|MRCA|
STEER WRESTLING|M1210C| 9. HAGAN ALISTAIR (PERF # 3)|VIRDEN MB|
STEER WRESTLING|6278C| 10. SPARROW JARED (PERF # 3)|NORTH BATTLEFORD SK|
STEER WRESTLING|7169C| 11. BRIGDEN AVERY (PERF # 3)|SOURIS, MB|
LADIES BARREL RACING||PERFORMANCE: 1||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|L6663C| 1. SCHNITZLER RENIE (PERF # 1)|VANSCOY, SK|TIMER DUTIES
LADIES BARREL RACING|L7507| 2. OGLE CHYANNE (PERF # 1)|MCCORD, SK|TIMER DUTIES
LADIES BARREL RACING|P7434C| 3. WESTON WHITNEY (PERF # 1)|CARDSTON, AB|
LADIES BARREL RACING|M2757C| 4. POTVIN JENNA (PERF # 1)|MRCA|
LADIES BARREL RACING|L6390C| 5. ZUNTI TWILA (PERF # 1)|UNITY, SK|
LADIES BARREL RACING|L6807C| 6. LANZ KARLY (PERF # 1)|CARIEVALE, SK|
LADIES BARREL RACING|L7432| 7. NAYLEN NANCY (PERF # 1)|MARYFIELD, SK|
LADIES BARREL RACING|L7448C| 8. SHAPLEY CHANTEL (PERF # 1)|MORTLACH, SK |
LADIES BARREL RACING|L7129C| 9. KIELSTRA CHRISSY (PERF # 1)|BURDETT, AB|
LADIES BARREL RACING|L6378C| 10. THIESSEN MELISSA (PERF # 1)|STETTLER, AB|
LADIES BARREL RACING|L5497C| 11. SWITZER BAILEE (PERF # 1)|ANEROID, SK|BARREL REP
LADIES BARREL RACING|L7427| 12. YARSHENKO MARDI (PERF # 1)|MAPLE CREEK SK|
LADIES BARREL RACING|L5545C| 13. GRAD KRYSTAL  (PERF # 1)|GRAVELBOURG, SK  |TIMER DUTIES
LADIES BARREL RACING|J7014C| 14. STEVENSON TAYLOR (PERF # 1)|ELBOW, SK|TIMER DUTIES
LADIES BARREL RACING||PERFORMANCE: 2||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|M2742C| 1. ELLISON MEGAN (PERF # 2)|REDVERS, SK|TIMER DUTIES
LADIES BARREL RACING|M2688C| 2. KLIPPENSTINE TANNIS (PERF # 2)|MRCA|TIMER DUTIES
LADIES BARREL RACING|L7509| 3. MILLARD TANA (PERF # 2)|RED DEER COUNTY, AB|
LADIES BARREL RACING|L7344C| 4. SCHUURMAN WHITTNY (PERF # 2)|DIAMOND CITY, AB|
LADIES BARREL RACING|L6382| 5. WILSON JOCELYN (PERF # 2)|MAPLE CREEK, SK|
LADIES BARREL RACING|L6730C| 6. SCHUURMAN TAMMY (PERF # 2)|DIAMOND CITY, AB|
LADIES BARREL RACING|J1598C| 7. MCCANNELL HALLIE (PERF # 2)|CARIEVALE, SK|
LADIES BARREL RACING|L7463| 8. BUNNEY JENN (PERF # 2)|BYEMOOR, AB|
LADIES BARREL RACING|L6830C| 9. HANSON ALEX (PERF # 2)|MEDICINE HAT, AB|
LADIES BARREL RACING|L7421C| 10. ROOD MEAGHAN (PERF # 2)|BENGOUGH, SK|
LADIES BARREL RACING|L7447| 11. FROESE TORIE (PERF # 2)|BIENFAIT, SK|
LADIES BARREL RACING|L7325C| 12. OLAFSON BERTINA (PERF # 2)|HUDSON BAY, SK|
LADIES BARREL RACING|R1023C| 13. MILLARD DENA (PERF # 2)|CPRA|
LADIES BARREL RACING|L7466| 14. SKOCDOPOLE DIANE (PERF # 2)|BIG VALLEY, AB|
LADIES BARREL RACING|L5256C| 15. MAYNES KERRY (PERF # 2)|MAPLE CREEK, SK|
LADIES BARREL RACING|L3858C| 16. KMITA NICOLE (PERF # 2)|WEYBURN, SK|TIMER DUTIES
LADIES BARREL RACING|L7278C| 17. CROSSLEY JACEY (PERF # 2)|MOOSOMIN, SK|TIMER DUTIES
LADIES BARREL RACING||PERFORMANCE: 3||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|L7083C| 1. PETERS SAMANTHA (PERF # 3)|PLUMAS MB|TIMER DUTIES
LADIES BARREL RACING|P923| 2. MARKS LISA (PERF # 3)|CENTRAL BUTTE, SK|TIMER DUTIES
LADIES BARREL RACING|L5498C| 3. GETZ JENNIFER (PERF # 3)|BALGONIE, SK        |
LADIES BARREL RACING|M1714C| 4. HAGAN ERIN (PERF # 3)|VIRDEN MB|
LADIES BARREL RACING|L5402C| 5. HOOVER JACQUELINE (PERF # 3)|VANSCOY, SK |
LADIES BARREL RACING|L5550C| 6. DRAKE KARA (PERF # 3)|MOOSE JAW, SK|
LADIES BARREL RACING|L3224| 7. KLIND JODI (PERF # 3)|SCOUT LAKE, SK|
LADIES BARREL RACING|L7499| 8. VANBUSKIRK SHANNON (PERF # 3)|MANYBERRIES, AB|
LADIES BARREL RACING|L7465| 9. GOMPF KYLIE (PERF # 3)|OAK LAKE, MB|
LADIES BARREL RACING|L6731C| 10. SCHUURMAN BRITTNY (PERF # 3)|DEL BONITA, AB|
LADIES BARREL RACING|LOC6642| 11. ESMOND AMANDA (PERF # 3)|CEN|
LADIES BARREL RACING|M2363C| 12. PETERS SHAUNA (PERF # 3)|SUCCESS, SK|
LADIES BARREL RACING|L5274C| 13. BARTON LAURIE J. (PERF # 3)|OUTLOOK, SK|
LADIES BARREL RACING|LOC6641| 14. ESMOND JUANITA (PERF # 3)|CEN|
LADIES BARREL RACING|L6820C| 15. STOKES LAURA (PERF # 3)|AUSTIN, MB|
LADIES BARREL RACING|J7299C| 16. WALDNER MEGAN (PERF # 3)|BOWLSLAND, AB|
LADIES BARREL RACING|M2802C| 17. YOUNG BECKY (PERF # 3)|MRCA|
LADIES BARREL RACING|L7490| 18. LYNN KAYLA (PERF # 3)|BOW ISLAND, AB|
LADIES BARREL RACING|L7459| 19. DANCY NANCY (PERF # 3)|RAPID VIEW, SK|
LADIES BARREL RACING|L7322C| 20. GLASRUD HALEY (PERF # 3)|SHAUNAVON, SK|
LADIES BARREL RACING|LOC6640| 21. MAY SANDY (PERF # 3)|CEN|
LADIES BARREL RACING|L5293C| 22. DENBROK TRACI  (PERF # 3)|ESTERHAZY, SK|TIMER DUTIES
LADIES BARREL RACING|L7540| 23. VANBUSKIRK JESSICA (PERF # 3)|MANYBERRIES, AB|TIMER DUTIES
TEAM ROPING||PERFORMANCE: 1||
TEAM ROPING|| ||
TEAM ROPING|P7476| 1. ESMOND DAVID(H) (PERF # 1)|ELBOW, SK|
TEAM ROPING|J1706C|    ESMOND DANITA(F) (PERF # 1)|EYEBROW, SK|
TEAM ROPING|6400C| 2. SPENCER BART(H) (PERF # 1)|CARNDUFF, SK |
TEAM ROPING|5421|    GAUBE BRETT(F) (PERF # 1)|WEYBURN, SK|
TEAM ROPING|7413C| 3. HULSTON RYAN(H) (PERF # 1)|MELVILLE, SK|
TEAM ROPING|J7406C|    HULSTON COLTON(F) (PERF # 1)|MELVILLE, SK|
TEAM ROPING|6933C| 4. SMITH LAYNE(F) (PERF # 1)|OAK LAKE, MB|
TEAM ROPING|7532|    MITCHELL COLE(H) (PERF # 1)|OAK LAKE, MB|
TEAM ROPING|6835C| 5. BROWN ORY(F) (PERF # 1)|LENORE, MB|
TEAM ROPING|3348|    BROWN ORVILLE(H) (PERF # 1)|LENORE MB|
TEAM ROPING|3149C| 6. KOVAR CLARK(F) (PERF # 1)|SWIFT CURRENT, SK|
TEAM ROPING|L1666C|    KOVAR MADISON(H) (PERF # 1)|SWIFT CURRENT, SK|
TEAM ROPING|6675C| 7. MICHALSKY LUCAS(F) (PERF # 1)|LUNDBRECK, AB|
TEAM ROPING|7161C|    WEATHERBEE LUCAS(H) (PERF # 1)|LUNDBRECK, AB|
TEAM ROPING|3948C| 8. BEVAN CAREY(F) (PERF # 1)|CARIEVALE SK|
TEAM ROPING|P3007C|    SCHMITZ OWEN(H) (PERF # 1)|CENTRAL BUTTE SK|
TEAM ROPING|7417| 9. WILEY BILLY(F) (PERF # 1)|MANOR, SK|
TEAM ROPING|7431|    NAYLEN GREG(H) (PERF # 1)|MARYFIELD, SK|
TEAM ROPING||PERFORMANCE: 2||
TEAM ROPING|| ||
TEAM ROPING|3880C| 1. KMITA TYLER(F) (PERF # 2)|WEYBURN SK|
TEAM ROPING|5640C|    MCCANNELL KEVIN(H) (PERF # 2)|CARIEVALE, SK|
TEAM ROPING|5020C| 2. GETZ TYLER(F) (PERF # 2)|LUCKY LAKE, SK|
TEAM ROPING|2007C|    SWITZER BLAINE(H) (PERF # 2)|SWIFT CURRENT SK|
TEAM ROPING|7096C| 3. GEIS MARTIN(H) (PERF # 2)|MOSSBANK, SK|
TEAM ROPING|6365C|    BROWNLEE GARRETT(F) (PERF # 2)|MOOSE JAW, SK|
TEAM ROPING|6259C| 4. HOUSTON RICHARD(F) (PERF # 2)|WAINWRIGHT, AB|
TEAM ROPING|P7544|    THORNTON TANNER(H) (PERF # 2)|SEDALIA, AB|
TEAM ROPING|CP3960C| 5. RESCH WAYNE(H) (PERF # 2)|MAPLE CREEK, SK|
TEAM ROPING|3777C|    FISHER KIRK(F) (PERF # 2)|MOOSE JAW, SK|
TEAM ROPING|6809C| 6. OLSON BRETT A(F) (PERF # 2)|SOUTHEY, SK|
TEAM ROPING|6738C|    BROWNLEE CLAY(H) (PERF # 2)|MOOSE JAW, SK|
TEAM ROPING|7099C| 7. PANCOAST JARED(F) (PERF # 2)|REDCLIFF, AB|
TEAM ROPING|6555|    PEROZAK MACE(H) (PERF # 2)|CLARESHOLM, AB|
TEAM ROPING|7296C| 8. PATON TY(H) (PERF # 2)|CARNDUFF, SK|
TEAM ROPING|6670C|    RUTTEN TANNER(F) (PERF # 2)|REDVERS, SK|
TEAM ROPING|R28430| 9. SKOCDOPOLE DALE(H) (PERF # 2)|BIG VALLEY, AB|
TEAM ROPING|R33033|    HODGE JOSH(F) (PERF # 2)|CPRA|
TEAM ROPING|6645C| 10. KLOVANSKY KAL(F) (PERF # 2)|QU'APPELLE, SK|
TEAM ROPING|6831C|    WUDRICH TAYLOR(H) (PERF # 2)|BOW ISLAND, AB|
