OFFICIAL DRAW FOR MOOSOMIN
Performance: 1. Friday 8 @ 6:30PM
Performance: 2. Saturday 9 @ 6:30PM
Performance: 3. Saturday 9 @ 9:00AM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
STEER WRESTLING|7264C| 2. PETTYJOHN TY (PERF # 1)|GARLAND, MB|
STEER WRESTLING|6505C| 3. ELLIS TY (PERF # 1)|SONNINGDALE, SK|
STEER WRESTLING|1561C| 4. LOEPPKY TJ (PERF # 1)|CENTRAL BUTTE, SK|
STEER WRESTLING|7419| 5. WHEELER GEORGE (PERF # 1)|DAVIDSON SK|
STEER WRESTLING|7086C| 6. POTVIN ANTHONY (PERF # 1)|AUSTIN, MB|
STEER WRESTLING|6510C| 7. MCLEOD TUFTIN (PERF # 1)|WALDECK, SK|
STEER WRESTLING|6645C| 8. KLOVANSKY KAL (PERF # 1)|QU'APPELLE, SK|
STEER WRESTLING|5942C| 9. SIGFUSSON SCOTT (PERF # 1)|DAVIDSON, SK|
STEER WRESTLING|7253C| 10. MCLEOD TEE (PERF # 1)|WALDECK, SK|
STEER WRESTLING||PERFORMANCE: 2||
STEER WRESTLING|| ||
STEER WRESTLING|M2559C| 1. LEE AARON (PERF # 2)|MRCA|
STEER WRESTLING|J7436| 2. MCMAHON BRYCE (PERF # 2)|INWOOD, MB|
STEER WRESTLING|M2056C| 3. KING CHARLIE (PERF # 2)|MRCA|
STEER WRESTLING|M1981C| 4. BRIDGEMAN JUSTIN (PERF # 2)|BINSCARTH, MB|
STEER WRESTLING|M1210C| 5. HAGAN ALISTAIR (PERF # 2)|VIRDEN MB|
STEER WRESTLING|6278C| 6. SPARROW JARED (PERF # 2)|NORTH BATTLEFORD SK|
STEER WRESTLING|M1879C| 7. COWEN STEVEN (PERF # 2)|MRCA|
STEER WRESTLING|M2072C| 8. KING JOE (PERF # 2)|VIRDEN, MB|
STEER WRESTLING||PERFORMANCE: 3||
STEER WRESTLING|| ||
STEER WRESTLING|6347C| 1. SCHROEDER LEIGHTON (PERF # 3)|SOURIS, MB|
STEER WRESTLING|7169C| 2. BRIGDEN AVERY (PERF # 3)|SOURIS, MB|
STEER WRESTLING|R1332| 3. THUE FRED (PERF # 3)|CSPRA|
STEER WRESTLING|5483C| 4. PORTER DEVON (PERF # 3)|SOLSGIRTH, MB|
STEER WRESTLING|7248C| 5. HAYES RILEY (PERF # 3)|VAL MARIE, SK|
STEER WRESTLING|7380C| 6. SIEBOLD ADAM (PERF # 3)|KELVINGTON, SK|
STEER WRESTLING|1705C| 7. MARCENKO ZANE (PERF # 3)|ROCKGLEN, SK|
STEER WRESTLING|7383C| 8. KELLY CLINT (PERF # 3)|BRANDON, MB|
STEER WRESTLING|M1321C| 9. BROWN SHANE (PERF # 3)|VIRDEN MB|
STEER WRESTLING|6559C| 10. HARRIS SCOTT (PERF # 3)|STONEWALL, MB|
LADIES BARREL RACING||PERFORMANCE: 1||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|L7540| 1. VANBUSKIRK JESSICA (PERF # 1)|MANYBERRIES, AB|TIMER DUTIES
LADIES BARREL RACING|L6718C| 2. SLADE LARAMIE (PERF # 1)|LESTOCK, SK|TIMER DUTIES
LADIES BARREL RACING|J1671C| 3. SLADE CALONNA (PERF # 1)|NANTON, AB|
LADIES BARREL RACING|L6820C| 4. STOKES LAURA (PERF # 1)|AUSTIN, MB|
LADIES BARREL RACING|M2802C| 5. YOUNG BECKY (PERF # 1)|MRCA|
LADIES BARREL RACING|L7325C| 6. OLAFSON BERTINA (PERF # 1)|HUDSON BAY, SK|
LADIES BARREL RACING|P6479| 7. BEAR SHASTA (PERF # 1)|WHITEWOOD, SK|BARREL REP
LADIES BARREL RACING|L5498C| 8. GETZ JENNIFER (PERF # 1)|BALGONIE, SK        |
LADIES BARREL RACING|L5402C| 9. HOOVER JACQUELINE (PERF # 1)|VANSCOY, SK |
LADIES BARREL RACING|M2717P| 10. MCKAY KATLYN (PERF # 1)|GLENAVON, SK|
LADIES BARREL RACING|M2757C| 11. POTVIN JENNA (PERF # 1)|MRCA|
LADIES BARREL RACING|L6374C| 12. MASTAD ANGELA (PERF # 1)|PLEASANTDALE, SK|
LADIES BARREL RACING|L7499| 13. VANBUSKIRK SHANNON (PERF # 1)|MANYBERRIES, AB|TIMER DUTIES
LADIES BARREL RACING|L5293C| 14. DENBROK TRACI  (PERF # 1)|ESTERHAZY, SK|TIMER DUTIES
LADIES BARREL RACING||PERFORMANCE: 2||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|L6830C| 1. HANSON ALEX (PERF # 2)|MEDICINE HAT, AB|TIMER DUTIES
LADIES BARREL RACING|J1549C| 2. BOWDITCH AMY (PERF # 2)|SYLVANIA, SK|TIMER DUTIES
LADIES BARREL RACING|L7427| 3. YARSHENKO MARDI (PERF # 2)|MAPLE CREEK SK|
LADIES BARREL RACING|L5127| 4. GOEBEL DAWN (PERF # 2)|GRENFELL, SK|
LADIES BARREL RACING|L6382| 5. WILSON JOCELYN (PERF # 2)|MAPLE CREEK, SK|
LADIES BARREL RACING|M2731| 6. DENBOW JAMIE (PERF # 2)|MRCA|
LADIES BARREL RACING|M1799C| 7. COWAN KATIE (PERF # 2)|MRCA                         |
LADIES BARREL RACING|LOC6606| 8. MCEWEN HUNTER (PERF # 2)|MOO|
LADIES BARREL RACING|L3802C| 9. DUNHAM SHEENA (PERF # 2)|SOURIS, MB|
LADIES BARREL RACING|L6663C| 10. SCHNITZLER RENIE (PERF # 2)|VANSCOY, SK|
LADIES BARREL RACING|L6390C| 11. ZUNTI TWILA (PERF # 2)|UNITY, SK|
LADIES BARREL RACING|M1289C| 12. DAVEY MICHELLE (PERF # 2)|MRCA|
LADIES BARREL RACING|LOC6607| 13. ROY CASSANDRA (PERF # 2)|MOO|
LADIES BARREL RACING|M1714C| 14. HAGAN ERIN (PERF # 2)|VIRDEN MB|TIMER DUTIES
LADIES BARREL RACING|M2882| 15. GARVEY DAWSON (PERF # 2)|MRCA|TIMER DUTIES
LADIES BARREL RACING||PERFORMANCE: 3||
LADIES BARREL RACING|| ||
LADIES BARREL RACING|M1986C| 1. SWITZER DANIELLE (PERF # 3)|MRCAEVALE|TIMER DUTIES
LADIES BARREL RACING|M2424| 2. GRAY DAWN RAE (PERF # 3)|MRCA|TIMER DUTIES
LADIES BARREL RACING|L7416| 3. WILEY BRITTANY (PERF # 3)|MANOR, SK|
LADIES BARREL RACING|L7447| 4. FROESE TORIE (PERF # 3)|BIENFAIT, SK|
LADIES BARREL RACING|M2742C| 5. ELLISON MEGAN (PERF # 3)|REDVERS, SK|
