OFFICIAL DRAW FOR MANKOTA, SK
Performance: 1. Friday 27 @ 6:00PM
Performance: 2. Saturday 28 @ 6:00PM
Performance: 3. Saturday 28 @ 9:00AM
EVENT|CCA#|MEMBER NAME|LOCALE|STOCK NAME/DESCRIPTION
TIE DOWN ROPING|5020C| 4. GETZ TYLER (PERF # 3)|LUCKY LAKE, SK|
TIE DOWN ROPING|7472| 5. JOHNSON DAWSON (PERF # 3)|STRATHMORE, AB|
TIE DOWN ROPING|5085C| 6. FOLK KEVIN (PERF # 3)|SWIFT CURRENT SK|
TIE DOWN ROPING|3956C| 7. HARDEN JEREMY  (PERF # 3)|CASTOR, AB|
TIE DOWN ROPING|6259C| 8. HOUSTON RICHARD (PERF # 3)|WAINWRIGHT, AB|
TIE DOWN ROPING|6510C| 9. MCLEOD TUFTIN (PERF # 3)|WALDECK, SK|
TIE DOWN ROPING|7514| 10. DYCK STRAN (PERF # 3)|MEDICINE HAT, AB|
TIE DOWN ROPING|7049C| 11. MARCENKO GEORGE (PERF # 3)|ROCKGLEN, SK|
TIE DOWN ROPING|5866C| 12. MOEBIS TREVOR (PERF # 3)|SEVEN PERSONS, AB|
TIE DOWN ROPING|5019C| 13. GETZ CODY (PERF # 3)|BALGONIE, SK|
TIE DOWN ROPING|5942C| 14. SIGFUSSON SCOTT (PERF # 3)|DAVIDSON, SK|
TIE DOWN ROPING|M1981C| 15. BRIDGEMAN JUSTIN (PERF # 3)|BINSCARTH, MB|
TIE DOWN ROPING|7430C| 16. ANDERSON MACLIN (PERF # 3)|ROCKGLEN, SK|
TIE DOWN ROPING|C266C| 17. PEROZAK GUY (PERF # 3)|CRA|
TIE DOWN ROPING|6835C| 18. BROWN ORY (PERF # 3)|LENORE, MB|
TIE DOWN ROPING|5483C| 19. PORTER DEVON (PERF # 3)|SOLSGIRTH, MB|
TIE DOWN ROPING|5373C| 20. RADKE CLINT (PERF # 3)|MARYFIELD, SK|
TIE DOWN ROPING|6293C| 21. WALBURGER ROSS (PERF # 3)|WOOD MOUNTAIN, SK|
TIE DOWN ROPING|7438| 22. GULICK CHAD (PERF # 3)|WETASKIWIN, AB|
TIE DOWN ROPING|3955C| 23. DUNHAM BRUCE (PERF # 3)|INDIAN HEAD, SK|
TIE DOWN ROPING|5311C| 24. WILLIAMSON SHAWN (PERF # 3)|MANKOTA, SK |
TIE DOWN ROPING|7462| 25. HOFER CHASE (PERF # 3)|MAGRATH, AB|
TIE DOWN ROPING|C6460C| 26. MILLER RYAN (PERF # 3)|CRA|
TIE DOWN ROPING|7280C| 27. WRIGHT TYSON (PERF # 3)|LETHBRIDGE, AB|
